report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,media,explanation
https://nuforc.org/sighting/?id=188695,04/02/2025 19:30,Honolulu,HI,USA,Orb,"No sound, white orb. Just floated.",True,
https://nuforc.org/sighting/?id=188696,04/02/2025 15:35,Gdańsk,Województwo pomorskie,Poland,Triangle,A black triangular object in one of my pictures during a moon photoshoot session,True,
https://nuforc.org/sighting/?id=188699,04/02/2025 13:45,Brattleboro,VT,USA,Cigar,Small cigar shaped craft seen in the sky,False,
https://nuforc.org/sighting/?id=188674,04/01/2025 23:40,Boyertown,PA,USA,Light,2 crafts with four blinking lights and in-between the blinks was green light,False,
https://nuforc.org/sighting/?id=188673,04/01/2025 21:22,Ocean City,MD,USA,Circle,3-4 Objects in the Sky,False,
https://nuforc.org/sighting/?id=188672,04/01/2025 19:00,San Lorenzo,Caldas,Colombia,Orb,Red orb-type light at high speed.,False,
https://nuforc.org/sighting/?id=188683,04/01/2025 18:30,Edmonton,AB,Canada,Disk,One black circular/disk shaped craft seen hovering over the horizon. travels across the sky and meets another one,True,
https://nuforc.org/sighting/?id=188660,04/01/2025 15:00,Indianapolis,IN,USA,Formation,"Large, Black, slightly lumpy objects that were roughly shaped like a bunch of grapes",True,Balloon
https://nuforc.org/sighting/?id=188651,03/31/2025 23:13,Groningen,Groningen,Netherlands,Light,Looking up at the sky from my window I saw a single light moving in a straight line before vanishing,False,Satellite
https://nuforc.org/sighting/?id=188656,03/31/2025 21:58,Orlando,FL,USA,Changing,Saw yellow and orange flashing lights on hoffner in the sky saw ball of fire like object moved around in strange pattern then,True,Rocket
https://nuforc.org/sighting/?id=188684,03/31/2025 20:46,Pinon,AZ,USA,Circle,Four white orb like lights appearing and intersecting at same time creating triangular shapes before departing in opposite directions,False,
https://nuforc.org/sighting/?id=188655,03/31/2025 19:50,Phoenix,AZ,USA,Diamond,Diamond shaped craft with 3 pulsing white lights around perimeter and a red light in center.,False,
https://nuforc.org/sighting/?id=188648,03/31/2025 04:00,Toormina,New South Wales,Australia,Triangle,At 1st I thought it was birds or bats due to the flight formation then Satellites but quickly realised it was neither those.,False,
https://nuforc.org/sighting/?id=188650,03/30/2025 21:26,Odessa,TX,USA,Diamond,Speed of ufo and direction out of the ordinary,False,
https://nuforc.org/sighting/?id=188729,03/30/2025 20:36,Albuquerque,NM,USA,Triangle,I only saw it after I looked at my pics,True,Camera Anomaly?
https://nuforc.org/sighting/?id=188645,03/30/2025 20:07,Glendale,AZ,USA,Fireball,"4 Crafts in Glendale, AZ",True,Chinese Lantern
https://nuforc.org/sighting/?id=188661,03/30/2025 10:30,Plymouth,England,United Kingdom,Light,"Not seen visually, found on video, 9 x 3 minute videos show bright light moving half inch Westward over 24 minutes, Videos Preserved.",True,
https://nuforc.org/sighting/?id=188692,03/30/2025 00:30,Nanticoke,PA,USA,Orb,Saw it from house window second floor.,True,
https://nuforc.org/sighting/?id=188624,03/29/2025 22:39,Monson,MA,USA,Fireball,"100 yards around 1,000 feet up moving slow huge round red and orange burning fireball",False,
https://nuforc.org/sighting/?id=188626,03/29/2025 22:21,Boise,ID,USA,Orb,"UAP Cutting Through Clouds in Meridian, Idaho. Red and White Orbs Shaped in a Cross",False,
