report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=187528,2025-02-02 19:00:00,Maiden,NC,USA,Light,Saw 8 orange lights in the sky,02/05/2025,False,Chinese Lantern?
https://nuforc.org/sighting/?id=187510,2025-02-02 18:34:00,Saint Stephens,AL,USA,Cylinder,Strange bright light with vertical cylinder with smaller 45 degree pole sticking out in bright light,02/04/2025,True,
https://nuforc.org/sighting/?id=187458,2025-02-02 16:10:00,Leckford,England,United Kingdom,Circle,Stereotypical UFO that moved above a static plane in the air and vanish in a split second when I glanced for my phone camera,02/04/2025,True,
https://nuforc.org/sighting/?id=187410,2025-02-02 02:00:00,Franklin,NC,USA,Orb,Orb or sphere with erratic movement brighter than stars and multiple lights after viewing through binoculars,02/02/2025,False,
https://nuforc.org/sighting/?id=187452,2025-02-01 23:59:00,Bengaluru,Karnataka,India,Unknown,"It looked like a drone ( I thought it was one , emitting white or red light , sometimes green ).",02/03/2025,False,Drone?
https://nuforc.org/sighting/?id=187403,2025-02-01 21:30:00,Greenacres,FL,USA,Light,"Was stationary, moved east slowly, then west, then maybe a jog, and then straight down until it passed behind trees.",02/01/2025,False,Drone?
https://nuforc.org/sighting/?id=187445,2025-02-01 21:07:00,Freeport,Freeport,The Bahamas,Light,Saw exceptionally bright light in sky when several smaller lights appeared and moved up into sky,02/03/2025,True,Satellite?
https://nuforc.org/sighting/?id=187397,2025-02-01 19:45:00,Randolph,VT,USA,Light,Hovering cluster of lights,02/01/2025,False,
https://nuforc.org/sighting/?id=187402,2025-02-01 18:55:00,Fort Smith,AR,USA,Circle,I saw a bright circle object that my gf thought was a star then it came closer in seconds and then moved so far away I couldn’t see it.,02/01/2025,True,
https://nuforc.org/sighting/?id=187389,2025-02-01 18:05:00,Bengaluru,Karnataka,India,Cigar,I went to get my dry cleaned bed sheets from top of my house I saw the object moving at a speed of F-16 800-900 miles per hour,02/01/2025,False,
https://nuforc.org/sighting/?id=187414,2025-02-01 17:23:00,Allen,TX,USA,Changing,"Observed 4 flying objects that seemed to blink and fade in and out, change direction and accelerate rapidly",02/02/2025,False,
https://nuforc.org/sighting/?id=187408,2025-02-01 16:44:00,Westminster,CO,USA,Sphere,Floating metal sphere in westminster co,02/02/2025,True,Balloon?
https://nuforc.org/sighting/?id=187425,2025-02-01 00:23:00,,Rio Grande do Sul,Brazil,Fireball,I saw a fireball hovering and disappearing for two consecutive days in the same location.,02/02/2025,False,
https://nuforc.org/sighting/?id=187387,2025-01-31 23:45:00,Leicester,England,United Kingdom,Triangle,Felt like time stood still.   Appeared to be 3 craft of triangles shaped with blue to red shimmering lights.,02/01/2025,False,
